team,games,wins,ties,first_downs,plays,yards,rush_attempts,rush_yards,rz_trips,rz_td,dropbacks,pressured,to_margin,total_epa,win_pct,to_margin_pg,first_downs_pg,yards_per_play,rush_yds_per_att,rz_td_pct,pressure_rate,epa_per_dropback,srs,srs_pctl,epa_per_dropback_pctl,to_margin_pg_pctl,first_downs_pg_pctl,yards_per_play_pctl,rush_yds_per_att_pctl,rz_td_pct_pctl,pressure_rate_pctl,game_performance_score
CHI,1,1,0,26,70,552.0,39.0,291.0,4.0,4.0,38,3,0.0,20.437415983473414,1.0,0.0,26.0,7.885714285714286,7.461538461538462,1.0,0.07894736842105263,0.5378267364071951,2.6351788317807694,75.0,93.8,51.6,90.6,96.9,100.0,87.5,15.6,84.1
JAX,1,1,0,23,53,363.0,32.0,126.0,2.0,2.0,24,3,2.0,19.021475746762007,1.0,2.0,23.0,6.849056603773585,3.9375,1.0,0.125,0.792561489448417,7.15865416718511,96.9,100.0,92.2,71.9,87.5,43.8,87.5,31.2,83.4
BAL,1,1,0,23,60,509.0,37.0,202.0,4.0,3.0,29,3,1.0,13.324381510959942,1.0,1.0,23.0,8.483333333333333,5.45945945945946,0.75,0.10344827586206896,0.4594614314124118,2.511875080762004,71.9,87.5,76.6,71.9,100.0,87.5,59.4,21.9,79.0
BUF,2,2,0,54,118,859.0,57.0,289.0,8.0,6.0,71,11,2.0,37.72748764020536,1.0,1.0,27.0,7.279661016949152,5.0701754385964914,0.75,0.15492957746478872,0.5313730653550051,3.300712543939543,81.2,90.6,76.6,93.8,90.6,78.1,59.4,59.4,78.0
SF,1,1,0,23,64,379.0,30.0,174.0,3.0,2.0,36,2,1.0,7.477166266014262,1.0,1.0,23.0,5.921875,5.8,0.6666666666666666,0.05555555555555555,0.2076990629448406,4.529115012860133,93.8,65.6,76.6,71.9,65.6,96.9,45.3,9.4,76.5
NYG,1,1,0,28,65,399.0,37.0,165.0,4.0,4.0,33,5,0.0,22.01252119606943,1.0,0.0,28.0,6.138461538461539,4.45945945945946,1.0,0.15151515151515152,0.6670460968505888,-1.3617986282945351,40.6,96.9,51.6,96.9,71.9,71.9,87.5,50.0,70.1
CAR,1,0,0,23,62,478.0,22.0,125.0,4.0,4.0,43,5,0.0,13.408420233771391,0.0,0.0,23.0,7.709677419354839,5.681818181818182,1.0,0.11627906976744186,0.3118237263667765,-3.901211020346075,18.8,78.1,51.6,71.9,93.8,90.6,87.5,28.1,66.9
DET,2,1,0,50,135,724.0,53.0,231.0,9.0,7.0,85,18,2.0,18.700830966700526,0.5,1.0,25.0,5.362962962962963,4.3584905660377355,0.7777777777777778,0.21176470588235294,0.2200097760788297,2.11379050202057,68.8,68.8,76.6,84.4,46.9,62.5,65.6,75.0,64.1
KC,1,1,0,18,64,396.0,38.0,220.0,5.0,3.0,33,5,1.0,0.8692722620413611,1.0,1.0,18.0,6.1875,5.7894736842105265,0.6,0.15151515151515152,0.026341583698223064,3.2403944254594457,78.1,46.9,76.6,39.1,78.1,93.8,37.5,50.0,63.6
SEA,1,1,0,13,47,286.0,22.0,97.0,2.0,0.0,27,6,3.0,6.10239931421296,1.0,3.0,13.0,6.085106382978723,4.409090909090909,0.0,0.2222222222222222,0.22601478941529482,8.343150287154849,100.0,71.9,98.4,14.1,68.8,65.6,4.7,84.4,61.1
